Conselheiros,código do conselheiro,Quando entrou,Indicado por quem?,Quando saiu,Bio resumida,Links de referência,Onde trabalhava antes,Onde foi trabalhar depois,FOTO,Afinidade Partidária,Cargos Políticos,Parentes com relações 
José Leite Pereira Filho (mandato 2),,27/08/2002,FHC,05/11/2007,,,,,,,,
Pedro Jaime Ziller,10,05/11/2003,Lula,05/11/2008,"Engenheiro eletricista formado em 1969 pela Universidade Federal de Minas Gerais (UFMG), com extensão universitária pela PUC-RJ e pela UFMG",http://www.anatel.gov.br/Portal/exibirPortalPaginaEspecial.do?org.apache.struts.taglib.html.TOKEN=d2994e932f8d82593407c8b27926bdd0&acao=carregaPasta&codItemCanal=1012&pastaSelecionada=2536,,,http://memoria.ebc.com.br/agenciabrasil/sites/_agenciabrasil/files/gallery_assist/3/gallery_assist637888/prev/1357EF0196.jpg,,,
Plinio Aguiar Junior,11,05/11/2004,Lula,05/11/2009,"É engenheiro eletrônico graduado pela Pontifícia Universidade Católica do Rio de Janeiro (PUC-RJ) em 1967. Nasceu em Fortaleza (CE).  

",,"Ex-diretor do Departamento de Indústria, Ciência e Tecnologia do Ministério das Comunicações, entre 1975 e 2002 trabalhou na implantação da área de comunicação de dados, no planejamento de longo prazo da área de desenvolvimento e no programa de qualidade corporativa da Embratel. Foi assessor especial do ministro das Comunicações entre 1979 e 1985, atuando na área de regulamentação de comunicação de dados. Foi governor do International Council for Computer Communication (ICCC) e fez parte do conselho editorial internacional da publicação inglesa Telecommunications Policy.  Foi membro do Conselho Técnico da 
Confederação Nacional do Comércio (CNC) e membro-convidado da equipe que  desenvolveu a tecnologia de comutação de dados no Centre National d'Études des Télécommunications (organismo da France Télècom).  Exerceu a presidência da Anatel de 7/7/2006 a 30/6/2007. ",,http://memoria.ebc.com.br/agenciabrasil/sites/_agenciabrasil/files/gallery_assist/3/gallery_assist637888/prev/1357EF0203.jpg,,,
Antônio Domingos Teixeira Bedran,12,14/05/2007,Lula,05/11/2010,"Nasceu em Barbacena (MG) em 16 de dezembro de 1945. É graduado pela Faculdade de Direito da Universidade Federal de Minas Gerais e 
pós-graduado em Direito de Empresa pela Fundação Dom Cabral. ",http://www1.folha.uol.com.br/fsp/dinheiro/fi0306200211.htm *Contrato com advogados abre crise em tele),"Foi assessor legislativo na Assembléia Legislativa de Minas Gerais e, no Sistema Telebrás, presidiu os conselhos de Administração da Embratel e da Telemig. Foi membro efetivo, por oito anos consecutivos, da Comissão de Jurisperitos do Intelsat, em Washington (USA). No Governo Federal, foi consultor jurídico do Ministério das Comunicações, de 15 de abril de  1994 a 27 de agosto de 1998, quando assumiu como procurador-geral da Agência, cargo que ocupou até ser nomeado conselheiro.",Possui o escritório jurídico Antônio Domingos Teixeira Bedran & Advogados Associados,http://www.anatel.gov.br/Portal/documentos/imagem/1193874270709.jpg,,,
Ronaldo Mota Sardenberg,13,02/07/2007,Lula,05/11/2011,"Formou-se  pela Faculdade Nacional de Direito - Universidade do Brasil (RJ), em 1963.  Foi aprovado em concurso pelo Instituto Rio Branco (IRBr), em janeiro de 1964, e promovido por merecimento ao longo da Carreira Diplomática.",http://idgnow.com.br/mobilidade/2007/07/02/idgnoticia.2007-07-02.8781434886/,"embaixador do Brasil na Rússia e na Espanha, representante do país na ONU e Ministro da Ciência e Tecnologia",,http://memoria.ebc.com.br/agenciabrasil/sites/_agenciabrasil/files/gallery_assist/3/gallery_assist637888/prev/1357EF0144.jpg,,,
Emília Maria Silva Ribeiro,14,01/09/2008,Lula,05/11/2012,"Formada bacharel em Direito pelo Centro Universitário de Brasília (CEUB), fez sua carreira no serviço público, onde ficou mais de trinta anos ocupando cargos ligados a telecomunicações e radiofusão",br.linkedin.com/pub/emilia-maria-silva-ribeiro-curi/3b/25b/2b5,"
Servidora pública federal desde os anos 1980.Funcionária do Senada Federal desde 2006.",Atual chefe de Gabinete da Presidência do Senado Federal - Assessora Tecnica da Presidencia de fevereiro de 2003 a setembro de 2008. ,http://www.sebcoc.com.br/webkit/Imagens/Galeria/6465.jpg,,,
João Batista Rezende,15,17/02/2009,Lula,05/11/2013,"Paranaense, economista formado pela Universidade Estadual de Londrina e mestre em economia pela PUC-SP","http://g1.globo.com/economia/noticia/2011/11/joao-batista-de-rezende-e-nomeado-novo-presidente-da-anatel.html http://economia.estadao.com.br/noticias/geral,joao-batista-de-rezende-e-o-novo-presidente-da-anatel,90493e","Ex-chefe de gabinete do ministro Paulo Bernardo. De 2005 a 2006, foi vice-presidente da Associação Brasileira de Concessionárias de Serviço Telefônico Fixo Comutado (Abrafix). Foi presidente da concessionária de telefonia Sercomtel e da Companhia de Desenvolvimento de Londrina (PR), onde foi secretário da Fazenda e diretor financeiro da Cohab.",,http://exame1.abrilm.com.br/assets/images/2012/7/62472/original_AgenciaBrasil220312VAC_0868.JPG?1395002742,,,
Jarbas José Valente,16,14/01/2010,Lula,05/11/2014,É engenheiro eletrônico e de telecomunicações graduado pela Universidade  de Brasília.,,"Ocupou a chefia da área comercial da Embratel em Brasília, a Presidência de Conselhos de Administração de diversas empresas do Sistema Telebrás e diretorias dos Departamentos de fiscalização e de Outorga de Serviços de Telefonia do Minicom",,http://memoria.ebc.com.br/agenciabrasil/sites/_agenciabrasil/files/gallery_assist/29/gallery_assist663481/24022011-240211FP07.JPG,,,
Marcelo Bechara de Souza Hobaika,17,05/11/2011,Dilma,11/11/2015,"Mineiro, advogado pela Faculdade Milton Campos pós-graduado em Direito da 
Economia e da Empresa pela Fundação Getúlio Vargas (FGV).",,Telecomunicações.,,http://www.pe-et.com.br/arquivos/c_anatel_competicao._1746646580.jpg,,,
Rodrigo Zerbone Loureiro,18,05/11/2011,Dilma,11/11/2016,"Rodrigo Zerbone é advogado, graduado em Direito pela Universidade Federal do Espírito Santo (UFES).",,"Trabalhou como assessor no Superior Tribunal de Justiça - 
STJ (2004/2006), no Conselho Administrativo de Defesa Econômica - Cade (2006/2008), na Casa Civil da Presidência da República (2008/2009) e na Anatel (2009/2010). Foi consultor jurídico do Ministério das Comunicações (2011) e vice-presidente do Conselho Consultivo da Anatel (2011).",,http://memoria.ebc.com.br/agenciabrasil/sites/_agenciabrasil/files/gallery_assist/24/gallery_assist690962/AgenciaBrasil160312ANT_9756.JPG,,,
Igor Vilas Boas de Freitas,19,05/11/2013,Dilma,05/11/2017,"Engenheiro eletrônico pelo ITA, com mestrado em economia pela Universidade de Brasília, em 2013. ",br.linkedin.com/pub/igor-vilas-boas-de-freitas/10/87/268,"Executivo na Siemens, 3Com (1997 a 2000), Nortel, Brasil Telecom e diretor da Indústria e Tecnologia do Minicom. Diretor de Indústria e Tecnologia do Ministério das Comunicações (2005 a 2008), Conselheiro técnico do Senado (2009 a 2013).",,http://static.congressoemfoco.uol.com.br/2013/12/igorGeraldoMagelaAgenciaSenado.jpg,,,
João Batista de Rezende (mandato 2),,05/11/2013,Dilma,05/11/2018,,,,,,,,
